county,date,measures,data_set_id
N/A,2016-05-31,"{""corrections_population"":217}",3
N/A,2015-06-30,"{""corrections_population"":231}",3
N/A,2015-07-31,"{""corrections_population"":896}",3
Fayette,2016-07-31,"{""corrections_population"":2035}",3
Huntingdon,2015-10-31,"{""corrections_population"":1335}",3
Schuylkill,2016-06-30,"{""corrections_population"":1156}",3
Luzerne,2015-12-31,"{""corrections_population"":2140}",3
Mercer,2015-07-31,"{""corrections_population"":1475}",3
Indiana,2016-04-30,"{""corrections_population"":899}",3
N/A,2015-07-31,"{""corrections_population"":334}",3
N/A,2015-10-31,"{""corrections_population"":987}",3
Greene,2016-02-29,"{""corrections_population"":1749}",3
Clearfield,2015-06-30,"{""corrections_population"":482}",3
Clearfield,2016-07-31,"{""corrections_population"":452}",3
Clearfield,2016-05-31,"{""corrections_population"":479}",3
Luzerne,2015-09-30,"{""corrections_population"":1110}",3
N/A,2016-06-30,"{""corrections_population"":267}",3
N/A,2015-11-30,"{""corrections_population"":124}",3
Centre,2015-10-31,"{""corrections_population"":2366}",3
Somerset,2016-08-31,"{""corrections_population"":1547}",3
Delaware,2015-10-31,"{""corrections_population"":1253}",3
Centre,2016-04-30,"{""corrections_population"":2062}",3
N/A,2016-08-31,"{""corrections_population"":8}",3
Luzerne,2015-06-30,"{""corrections_population"":1040}",3
Northumberland,2016-08-31,"{""corrections_population"":2313}",3
Huntingdon,2016-08-31,"{""corrections_population"":2144}",3
Fayette,2015-06-30,"{""corrections_population"":2046}",3
Schuylkill,2015-07-31,"{""corrections_population"":2473}",3
Huntingdon,2015-08-31,"{""corrections_population"":1334}",3
Schuylkill,2016-07-31,"{""corrections_population"":1162}",3
N/A,2015-09-30,"{""corrections_population"":145}",3
Luzerne,2015-07-31,"{""corrections_population"":2128}",3
N/A,2016-04-30,"{""corrections_population"":304}",3
Luzerne,2015-08-31,"{""corrections_population"":2133}",3
Greene,2016-01-31,"{""corrections_population"":1785}",3
Northumberland,2015-09-30,"{""corrections_population"":2275}",3
N/A,2015-07-31,"{""corrections_population"":6}",3
Forest,2015-06-30,"{""corrections_population"":2299}",3
Somerset,2015-06-30,"{""corrections_population"":2390}",3
Northumberland,2015-11-30,"{""corrections_population"":2298}",3
Indiana,2015-07-31,"{""corrections_population"":1029}",3
Clearfield,2015-10-31,"{""corrections_population"":509}",3
Huntingdon,2016-03-31,"{""corrections_population"":1308}",3
Fayette,2016-08-31,"{""corrections_population"":2050}",3
Allegheny,2015-09-30,"{""corrections_population"":1696}",3
Lycoming,2015-06-30,"{""corrections_population"":1383}",3
Greene,2016-05-31,"{""corrections_population"":1732}",3
Delaware,2016-03-31,"{""corrections_population"":1264}",3
Schuylkill,2016-08-31,"{""corrections_population"":2458}",3
Somerset,2016-05-31,"{""corrections_population"":1601}",3
N/A,2016-08-31,"{""corrections_population"":107}",3
Cumberland,2015-09-30,"{""corrections_population"":3543}",3
Mercer,2015-11-30,"{""corrections_population"":1430}",3
Lycoming,2015-08-31,"{""corrections_population"":1414}",3
Forest,2016-08-31,"{""corrections_population"":2349}",3
N/A,2016-02-29,"{""corrections_population"":69}",3
Delaware,2015-09-30,"{""corrections_population"":1290}",3
N/A,2015-06-30,"{""corrections_population"":916}",3
N/A,2015-10-31,"{""corrections_population"":131}",3
Luzerne,2016-06-30,"{""corrections_population"":1116}",3
N/A,2015-11-30,"{""corrections_population"":329}",3
Delaware,2016-05-31,"{""corrections_population"":1277}",3
Montgomery,2016-06-30,"{""corrections_population"":3288}",3
Montgomery,2015-09-30,"{""corrections_population"":3304}",3
Montgomery,2015-07-31,"{""corrections_population"":3259}",3
Erie,2015-06-30,"{""corrections_population"":2274}",3
Delaware,2015-12-31,"{""corrections_population"":1216}",3
Erie,2015-08-31,"{""corrections_population"":2274}",3
Indiana,2016-03-31,"{""corrections_population"":860}",3
Northumberland,2016-01-31,"{""corrections_population"":2293}",3
Luzerne,2015-09-30,"{""corrections_population"":2140}",3
N/A,2016-05-31,"{""corrections_population"":94}",3
Centre,2015-11-30,"{""corrections_population"":2382}",3
N/A,2016-08-31,"{""corrections_population"":78}",3
N/A,2016-07-31,"{""corrections_population"":233}",3
Crawford,2015-07-31,"{""corrections_population"":1093}",3
Crawford,2015-08-31,"{""corrections_population"":1081}",3
N/A,2016-06-30,"{""corrections_population"":226}",3
Wayne,2015-08-31,"{""corrections_population"":1358}",3
Somerset,2015-12-31,"{""corrections_population"":1379}",3
Fayette,2015-11-30,"{""corrections_population"":2035}",3
N/A,2016-04-30,"{""corrections_population"":124}",3
Mercer,2016-07-31,"{""corrections_population"":1435}",3
Schuylkill,2015-09-30,"{""corrections_population"":2478}",3
Luzerne,2016-07-31,"{""corrections_population"":2130}",3
Clearfield,2016-04-30,"{""corrections_population"":2533}",3
Centre,2016-08-31,"{""corrections_population"":2086}",3
N/A,2015-09-30,"{""corrections_population"":6}",3
Mercer,2015-12-31,"{""corrections_population"":1465}",3
Forest,2016-01-31,"{""corrections_population"":2267}",3
Crawford,2015-11-30,"{""corrections_population"":1130}",3
N/A,2015-07-31,"{""corrections_population"":84}",3
N/A,2016-07-31,"{""corrections_population"":109}",3
Crawford,2016-06-30,"{""corrections_population"":1210}",3
Crawford,2016-04-30,"{""corrections_population"":1199}",3
Luzerne,2016-08-31,"{""corrections_population"":2119}",3
Crawford,2016-02-29,"{""corrections_population"":1188}",3
N/A,2015-06-30,"{""corrections_population"":98}",3
N/A,2016-03-31,"{""corrections_population"":586}",3
Huntingdon,2015-08-31,"{""corrections_population"":2148}",3
